,,2017 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Bruce Arians,ARI,16,8,8,0,80,49,30,1,129,80,48,1,,,,3,1,2,9,6,3,
Dan Quinn,ATL,16,10,6,0,85,43,42,0,99,52,47,0,2,1,1,5,3,2,5,3,2,
John Harbaugh,BAL,16,9,7,0,273,169,104,0,273,169,104,0,,,,22,12,10,22,12,10,
Sean McDermott,BUF,16,9,7,0,128,84,44,0,128,84,44,0,1,0,1,11,5,6,11,5,6,
Ron Rivera,CAR,16,11,5,0,140,76,63,1,207,102,103,2,1,0,1,7,3,4,8,3,5,
John Fox,CHI,16,5,11,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
Marvin Lewis,CIN,16,7,9,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
Hue Jackson,CLE,16,0,16,0,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
Jason Garrett,DAL,16,9,7,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,
Vance Joseph,DEN,16,5,11,0,32,11,21,0,32,11,21,0,,,,,,,,,,
Jim Caldwell,DET,16,9,7,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,
Mike McCarthy,GNB,16,7,9,0,204,125,77,2,285,173,110,2,,,,18,10,8,22,11,11,
Bill O'Brien,HOU,16,4,12,0,100,52,48,0,100,52,48,0,,,,6,2,4,6,2,4,
Chuck Pagano,IND,16,4,12,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
Doug Marrone,JAX,16,10,6,0,66,23,43,0,98,38,60,0,3,2,1,3,2,1,3,2,1,
Andy Reid,KAN,16,10,6,0,193,141,52,0,417,271,145,1,1,0,1,23,16,7,42,26,16,
Anthony Lynn,LAC,16,9,7,0,64,33,31,0,65,33,32,0,,,,2,1,1,2,1,1,
Sean McVay,LAR,16,11,5,0,129,78,51,0,129,78,51,0,1,0,1,11,7,4,11,7,4,
Adam Gase,MIA,16,6,10,0,48,23,25,0,80,32,48,0,,,,1,0,1,1,0,1,
Mike Zimmer,MIN,16,13,3,0,129,72,56,1,129,72,56,1,2,1,1,5,2,3,5,2,3,
Sean Payton,NOR,16,11,5,0,241,152,89,0,272,169,103,0,2,1,1,17,9,8,17,9,8,
Bill Belichick,NWE,16,13,3,0,387,266,121,0,467,302,165,0,3,2,1,42,30,12,44,31,13,AFC Champions
Steve Spagnuolo,NYG,4,1,3,0,4,1,3,0,52,11,41,0,,,,,,,0,0,0,Started 12/04
Ben McAdoo,NYG,12,2,10,0,28,13,15,0,28,13,15,0,,,,1,0,1,1,0,1,Fired 12/04
Todd Bowles,NYJ,16,5,11,0,64,24,40,0,115,51,64,0,,,,,,,3,1,2,
Jack Del Rio,OAK,16,6,10,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,
Doug Pederson,PHI,16,13,3,0,80,42,37,1,128,63,64,1,3,3,0,6,4,2,8,5,3,Super Bowl Champions
Mike Tomlin,PIT,16,13,3,0,289,183,104,2,289,183,104,2,1,0,1,18,8,10,18,8,10,
Pete Carroll,SEA,16,9,7,0,227,137,89,1,291,170,120,1,,,,19,10,9,22,11,11,
Kyle Shanahan,SFO,16,6,10,0,129,70,59,0,129,70,59,0,,,,12,8,4,12,8,4,
Dirk Koetter,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,
Mike Mularkey,TEN,16,9,7,0,41,20,21,0,89,36,53,0,2,1,1,2,1,1,2,1,1,
Jay Gruden,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
