,,2021 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Kliff Kingsbury,ARI,17,11,6,0,66,28,37,1,66,28,37,1,1,0,1,1,0,1,1,0,1,
Arthur Smith,ATL,17,7,10,0,51,21,30,0,51,21,30,0,,,,,,,,,,
John Harbaugh,BAL,17,8,9,0,273,169,104,0,273,169,104,0,,,,22,12,10,22,12,10,
Sean McDermott,BUF,17,11,6,0,128,84,44,0,128,84,44,0,2,1,1,11,5,6,11,5,6,
Matt Rhule,CAR,17,5,12,0,38,11,27,0,38,11,27,0,,,,,,,,,,
Matt Nagy,CHI,17,6,11,0,65,34,31,0,65,34,31,0,,,,2,0,2,2,0,2,
Zac Taylor,CIN,17,10,7,0,96,43,52,1,96,43,52,1,4,3,1,7,5,2,7,5,2,AFC Champions
Kevin Stefanski,CLE,17,8,9,0,81,40,41,0,81,40,41,0,,,,3,1,2,3,1,2,
Mike McCarthy,DAL,17,12,5,0,81,48,33,0,285,173,110,2,1,0,1,4,1,3,22,11,11,
Vic Fangio,DEN,17,7,10,0,49,19,30,0,49,19,30,0,,,,,,,,,,
Dan Campbell,DET,17,3,13,1,65,36,28,1,77,41,35,1,,,,3,2,1,3,2,1,
Matt LaFleur,GNB,17,13,4,0,97,66,31,0,97,66,31,0,1,0,1,7,3,4,7,3,4,
David Culley,HOU,17,4,13,0,17,4,13,0,17,4,13,0,,,,,,,,,,
Frank Reich,IND,17,9,8,0,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,
Darrell Bevell,JAX,4,1,3,0,4,1,3,0,9,2,7,0,,,,,,,,,,Interim coach after Week 14
Urban Meyer,JAX,13,2,11,0,13,2,11,0,13,2,11,0,,,,,,,,,,
Andy Reid,KAN,17,12,5,0,193,141,52,0,417,271,145,1,3,2,1,23,16,7,42,26,16,
Brandon Staley,LAC,17,9,8,0,48,24,24,0,48,24,24,0,,,,1,0,1,1,0,1,
Sean McVay,LAR,17,12,5,0,129,78,51,0,129,78,51,0,4,4,0,11,7,4,11,7,4,Super Bowl Champions
Jon Gruden,LVR,5,3,2,0,117,60,57,0,229,117,112,0,1,0,1,5,2,3,10,5,5,Resigned after Week 5
Rich Bisaccia,LVR,12,7,5,0,12,7,5,0,12,7,5,0,1,0,1,1,0,1,1,0,1,Interim coach after Week 6
Brian Flores,MIA,17,9,8,0,49,24,25,0,49,24,25,0,,,,,,,,,,
Mike Zimmer,MIN,17,8,9,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,
Sean Payton,NOR,17,9,8,0,241,152,89,0,272,169,103,0,,,,17,9,8,17,9,8,
Bill Belichick,NWE,17,10,7,0,387,266,121,0,467,302,165,0,1,0,1,42,30,12,44,31,13,
Joe Judge,NYG,17,4,13,0,33,10,23,0,33,10,23,0,,,,,,,,,,
Robert Saleh,NYJ,17,4,13,0,56,20,36,0,56,20,36,0,,,,,,,,,,
Nick Sirianni,PHI,17,9,8,0,65,46,19,0,65,46,19,0,1,0,1,5,2,3,5,2,3,
Mike Tomlin,PIT,17,9,7,1,289,183,104,2,289,183,104,2,1,0,1,18,8,10,18,8,10,
Pete Carroll,SEA,17,7,10,0,227,137,89,1,291,170,120,1,,,,19,10,9,22,11,11,
Kyle Shanahan,SFO,17,10,7,0,129,70,59,0,129,70,59,0,3,2,1,12,8,4,12,8,4,
Bruce Arians,TAM,17,13,4,0,49,31,18,0,129,80,48,1,2,1,1,6,5,1,9,6,3,
Mike Vrabel,TEN,17,12,5,0,99,54,45,0,99,54,45,0,1,0,1,5,2,3,5,2,3,
Ron Rivera,WAS,17,7,10,0,67,26,40,1,207,102,103,2,,,,1,0,1,8,3,5,
